data,dia_da_semana,mês,dia_do_mes,feriado,promoção_ativa,final_de_semana,data_comemorativa,condição_climática,intensidade_chuva,pedidos_presenciais,pedidos_delivery,faturamento_total,qtd_lanches,qtd_combos,qtd_batatas,qtd_bebidas,qtd_sobremesas
2019-03-03,7,3,3,0,0,1,0,3,0,67,52,7433.41,113,71,61,83,20
2019-03-04,1,3,4,0,0,0,0,3,0,40,31,3857.08,57,43,29,50,12
2019-03-05,2,3,5,0,0,0,0,3,0,38,26,3768.44,55,39,25,41,13
2019-03-06,3,3,6,0,0,0,0,2,1,45,29,4225.08,62,40,27,53,16
2019-03-07,4,3,7,0,0,0,0,0,2,19,53,3850.19,63,38,41,48,20
2019-03-08,5,3,8,0,0,0,0,2,0,54,46,5742.44,82,47,35,81,26
2019-03-09,6,3,9,0,1,1,0,1,2,72,107,10562.93,148,100,72,127,45
2019-03-10,7,3,10,0,0,1,0,3,0,75,42,6028.51,99,54,37,95,18
2019-03-11,1,3,11,0,0,0,0,2,0,25,28,3137.3,42,32,22,38,10
2019-03-12,2,3,12,0,0,0,0,2,1,29,29,3485.5,56,32,22,41,9
2019-03-13,3,3,13,0,0,0,0,0,2,12,38,3305.9,48,28,19,37,15
2019-03-14,4,3,14,0,0,0,0,1,2,22,31,2897.23,45,27,23,36,12
2019-03-15,5,3,15,0,0,0,0,2,0,55,38,5126.96,83,38,50,66,20
2019-03-16,6,3,16,0,1,1,0,1,2,66,84,8564.73,121,86,59,111,34
2019-03-17,7,3,17,0,0,1,0,2,0,43,41,5063.6,75,46,29,65,11
2019-03-18,1,3,18,0,1,0,0,1,2,24,36,3762.34,55,31,28,45,17
2019-03-19,2,3,19,0,1,0,0,3,0,45,27,4272.2,64,38,31,47,11
2019-03-20,3,3,20,0,1,0,0,3,0,54,34,5307.62,75,50,29,66,14
2019-03-21,4,3,21,0,0,0,0,3,0,40,27,4096.26,62,35,32,43,15
2019-03-22,5,3,22,0,0,0,0,0,2,22,60,5302.32,70,49,45,58,16
2019-03-23,6,3,23,0,0,1,0,3,0,67,47,6053.18,94,52,41,78,24
2019-03-24,7,3,24,0,0,1,0,3,0,63,39,6086.07,89,57,35,76,23
2019-03-25,1,3,25,0,0,0,0,2,0,28,24,2748.14,46,25,20,37,10
2019-03-26,2,3,26,0,0,0,0,3,0,38,25,3563.82,53,30,35,48,11
2019-03-27,3,3,27,0,0,0,0,1,1,26,36,3682.1,56,39,25,42,9
2019-03-28,4,3,28,0,0,0,0,2,0,41,29,3539.65,51,32,34,52,20
2019-03-29,5,3,29,0,0,0,0,1,2,41,57,6170.05,89,53,47,77,28
2019-03-30,6,3,30,0,1,1,0,3,0,106,71,10304.41,150,97,78,132,36
2019-03-31,7,3,31,0,1,1,0,1,2,59,80,7706.26,126,61,70,102,32
2019-04-01,1,4,1,0,1,0,0,3,0,54,39,5259.78,84,49,36,68,25
2019-04-02,2,4,2,0,0,0,0,1,2,31,33,3967.66,54,34,32,46,12
2019-04-03,3,4,3,0,0,0,0,3,0,41,26,3677.61,60,32,24,51,15
2019-04-04,4,4,4,0,0,0,0,2,1,45,35,4698.36,70,44,27,65,21
2019-04-05,5,4,5,0,0,0,0,2,0,55,60,7099.91,100,67,50,86,28
2019-04-06,6,4,6,0,0,1,0,3,0,91,66,9059.54,137,95,59,128,34
2019-04-07,7,4,7,0,1,1,0,2,1,91,67,8210.9,136,59,51,121,40
2019-04-08,1,4,8,0,1,0,0,3,0,49,33,5087.44,71,40,46,59,20
2019-04-09,2,4,9,0,0,0,0,0,2,16,32,2691.78,41,22,17,34,14
2019-04-10,3,4,10,0,0,0,0,2,0,39,30,4323.99,65,37,30,52,13
2019-04-11,4,4,11,0,0,0,0,1,2,30,37,3857.37,64,32,35,49,12
2019-04-12,5,4,12,0,0,0,0,2,1,45,40,5381.93,76,49,50,61,14
2019-04-13,6,4,13,0,0,1,0,3,0,64,52,7020.42,99,61,56,84,30
2019-04-14,7,4,14,0,0,1,0,2,0,53,48,6107.51,95,49,48,73,21
2019-04-15,1,4,15,0,0,0,0,3,0,37,25,3459.98,53,33,27,46,11
2019-04-16,2,4,16,0,0,0,0,1,2,19,30,2819.55,42,28,14,36,7
2019-04-17,3,4,17,0,0,0,0,3,0,41,23,3492.15,59,30,20,45,7
2019-04-18,4,4,18,0,0,0,0,2,0,42,34,4376.0,65,37,30,63,18
2019-04-19,5,4,19,0,0,0,0,3,0,55,39,5438.38,82,48,43,68,24
2019-04-20,6,4,20,0,0,1,0,3,0,77,51,6571.3,117,44,69,92,35
2019-04-21,7,4,21,1,1,1,0,3,0,98,63,10136.0,148,82,72,110,35
2019-04-22,1,4,22,0,1,0,0,3,0,44,33,4578.95,71,45,35,51,23
2019-04-23,2,4,23,0,0,0,0,1,2,22,31,3257.97,47,28,27,39,11
2019-04-24,3,4,24,0,0,0,0,3,0,40,28,4070.03,59,40,27,50,14
2019-04-25,4,4,25,0,0,0,0,2,0,36,38,3874.86,60,37,25,51,16
2019-04-26,5,4,26,0,0,0,0,3,0,48,40,4862.87,77,51,34,64,14
2019-04-27,6,4,27,0,0,1,0,3,0,92,57,9060.1,135,82,60,111,31
2019-04-28,7,4,28,0,1,1,0,2,0,88,65,8225.05,122,83,78,117,29
2019-04-29,1,4,29,0,0,0,0,1,1,20,32,3103.64,49,27,22,35,15
2019-04-30,2,4,30,0,0,0,0,0,2,15,37,2938.78,48,28,20,39,12
2019-05-01,3,5,1,1,0,0,0,3,0,53,40,5197.42,84,44,43,65,28
2019-05-02,4,5,2,0,1,0,0,3,0,64,52,6809.72,105,63,47,83,25
2019-05-03,5,5,3,0,1,0,0,3,0,84,70,8282.0,144,64,67,112,37
2019-05-04,6,5,4,0,0,1,0,3,0,106,61,9828.19,150,103,66,120,31
2019-05-05,7,5,5,0,0,1,0,2,0,62,57,7643.98,101,66,57,87,28
2019-05-06,1,5,6,0,0,0,0,2,0,43,33,4171.98,64,39,34,55,18
2019-05-07,2,5,7,0,0,0,0,3,0,45,29,4324.57,62,43,35,56,12
2019-05-08,3,5,8,0,0,0,0,3,0,49,31,4823.4,77,43,34,57,18
2019-05-09,4,5,9,0,0,0,0,3,0,46,30,4592.43,61,41,26,47,18
2019-05-10,5,5,10,0,0,0,0,3,0,67,46,6753.25,103,56,49,84,21
2019-05-11,6,5,11,0,1,1,0,2,0,95,81,10972.99,162,96,73,135,50
2019-05-12,7,5,12,0,0,1,1,2,0,62,56,6800.31,100,60,49,89,25
2019-05-13,1,5,13,0,0,0,0,3,0,31,23,3351.61,44,30,27,42,11
2019-05-14,2,5,14,0,1,0,0,1,2,29,41,4233.98,60,37,30,51,16
2019-05-15,3,5,15,0,1,0,0,2,0,35,42,4305.9,63,39,26,49,19
2019-05-16,4,5,16,0,1,0,0,3,0,57,39,5217.6,82,49,45,66,21
2019-05-17,5,5,17,0,0,0,0,2,0,47,44,5266.71,72,58,31,66,25
2019-05-18,6,5,18,0,0,1,0,2,0,73,54,7461.48,108,73,48,104,32
2019-05-19,7,5,19,0,1,1,0,3,0,100,69,9908.78,150,95,64,124,27
2019-05-20,1,5,20,0,1,0,0,3,0,53,32,4699.19,73,45,28,57,23
2019-05-21,2,5,21,0,1,0,0,3,0,46,32,4614.45,69,37,29,60,19
2019-05-22,3,5,22,0,0,0,0,2,0,35,27,4066.52,56,36,23,45,18
2019-05-23,4,5,23,0,0,0,0,3,0,40,31,3641.77,64,36,27,47,9
2019-05-24,5,5,24,0,0,0,0,3,0,56,40,5497.35,85,48,32,74,22
2019-05-25,6,5,25,0,0,1,0,3,0,85,51,8133.38,126,69,64,104,22
2019-05-26,7,5,26,0,0,1,0,3,0,64,45,6646.98,99,60,45,71,26
2019-05-27,1,5,27,0,0,0,0,3,0,30,25,3392.66,52,30,24,42,10
2019-05-28,2,5,28,0,0,0,0,0,2,16,35,3106.94,47,25,22,33,13
2019-05-29,3,5,29,0,0,0,0,2,1,36,31,3762.0,56,37,27,50,11
2019-05-30,4,5,30,0,0,0,0,3,0,53,31,5037.69,74,48,28,53,12
2019-05-31,5,5,31,0,0,0,0,1,2,49,53,6232.66,90,48,54,84,30
2019-06-01,6,6,1,0,0,1,0,2,1,75,69,8682.51,125,70,66,111,32
2019-06-02,7,6,2,0,0,1,0,2,0,62,56,6338.24,106,51,50,89,36
2019-06-03,1,6,3,0,0,0,0,2,0,36,34,4014.88,66,42,27,47,15
2019-06-04,2,6,4,0,0,0,0,3,0,43,27,4109.01,63,34,24,41,15
2019-06-05,3,6,5,0,0,0,0,3,0,46,36,4706.34,68,44,38,64,17
2019-06-06,4,6,6,0,0,0,0,2,1,44,37,4670.2,70,49,31,59,18
2019-06-07,5,6,7,0,0,0,0,3,0,75,52,7163.08,115,66,52,88,33
2019-06-08,6,6,8,0,0,1,0,2,0,76,55,7189.19,117,67,42,103,24
2019-06-09,7,6,9,0,0,1,0,3,0,63,48,6553.0,99,62,47,78,19
2019-06-10,1,6,10,0,0,0,0,3,0,40,29,3584.0,54,31,31,57,15
2019-06-11,2,6,11,0,0,0,0,3,0,34,23,3130.58,49,26,24,46,13
2019-06-12,3,6,12,0,0,0,1,3,0,49,30,4547.99,72,40,32,70,18
2019-06-13,4,6,13,0,0,0,0,3,0,43,26,4219.15,63,33,36,54,13
2019-06-14,5,6,14,0,0,0,0,3,0,61,38,5848.44,84,57,39,70,17
2019-06-15,6,6,15,0,0,1,0,3,0,74,58,7938.12,115,72,47,99,27
2019-06-16,7,6,16,0,1,1,0,3,0,103,63,10029.28,140,92,72,123,51
2019-06-17,1,6,17,0,0,0,0,3,0,38,23,3200.06,48,29,30,44,10
2019-06-18,2,6,18,0,0,0,0,3,0,35,24,3500.81,50,27,30,42,16
2019-06-19,3,6,19,0,0,0,0,3,0,40,27,3818.48,56,36,23,52,13
2019-06-20,4,6,20,0,0,0,0,3,0,45,29,3960.64,67,32,31,61,12
2019-06-21,5,6,21,0,1,0,0,3,0,83,58,8242.2,117,80,61,107,24
2019-06-22,6,6,22,0,0,1,0,3,0,81,51,7584.86,104,75,51,95,31
2019-06-23,7,6,23,0,0,1,0,3,0,63,41,6324.52,94,57,37,81,20
2019-06-24,1,6,24,0,0,0,0,2,0,27,25,2718.68,41,26,16,39,14
2019-06-25,2,6,25,0,1,0,0,3,0,56,41,5543.36,84,49,41,76,16
2019-06-26,3,6,26,0,1,0,0,1,2,39,51,4830.81,79,52,23,68,16
2019-06-27,4,6,27,0,1,0,0,3,0,66,44,6552.46,106,49,54,89,18
2019-06-28,5,6,28,0,0,0,0,3,0,61,40,6423.36,97,51,43,76,22
2019-06-29,6,6,29,0,0,1,0,1,1,49,55,5208.21,90,41,46,69,18
2019-06-30,7,6,30,0,0,1,0,0,2,28,60,5598.14,79,60,38,63,15
2019-07-01,1,7,1,0,0,0,0,2,0,43,33,4036.43,72,39,28,49,9
2019-07-02,2,7,2,0,0,0,0,3,0,41,36,4314.99,66,40,39,59,15
2019-07-03,3,7,3,0,0,0,0,3,0,51,33,4893.5,73,44,34,58,19
2019-07-04,4,7,4,0,0,0,0,3,0,57,40,5806.77,88,51,46,72,18
2019-07-05,5,7,5,0,0,0,0,1,2,43,64,6598.64,105,52,32,82,28
2019-07-06,6,7,6,0,0,1,0,3,0,114,64,9885.02,149,80,71,142,43
2019-07-07,7,7,7,0,0,1,0,3,0,67,53,7475.35,96,70,61,92,20
2019-07-08,1,7,8,0,0,0,0,3,0,37,27,3486.53,56,32,21,50,13
2019-07-09,2,7,9,0,0,0,0,3,0,37,34,3971.95,67,34,29,47,15
2019-07-10,3,7,10,0,0,0,0,3,0,43,32,4247.73,60,37,31,55,17
2019-07-11,4,7,11,0,0,0,0,3,0,39,27,3567.89,59,26,28,44,19
2019-07-12,5,7,12,0,0,0,0,3,0,56,40,4848.73,79,44,40,72,25
2019-07-13,6,7,13,0,1,1,0,3,0,88,78,10316.1,153,105,57,125,32
2019-07-14,7,7,14,0,0,1,0,3,0,55,46,6406.2,89,63,40,75,18
2019-07-15,1,7,15,0,0,0,0,3,0,35,22,3156.87,50,30,24,44,8
2019-07-16,2,7,16,0,0,0,0,3,0,39,21,3837.62,59,30,29,42,14
2019-07-17,3,7,17,0,0,0,0,2,0,36,34,3553.9,63,24,32,51,15
2019-07-18,4,7,18,0,0,0,0,3,0,42,33,4084.13,63,32,28,57,20
2019-07-19,5,7,19,0,0,0,0,0,2,26,64,5499.01,76,49,42,69,25
2019-07-20,6,7,20,0,0,1,0,3,0,78,50,6864.88,111,60,48,92,23
2019-07-21,7,7,21,0,0,1,0,3,0,53,46,5289.06,87,46,45,76,13
2019-07-22,1,7,22,0,0,0,0,3,0,38,24,3225.39,53,24,28,41,13
2019-07-23,2,7,23,0,0,0,0,3,0,28,27,3282.97,52,32,23,38,14
2019-07-24,3,7,24,0,0,0,0,3,0,45,36,4386.49,72,39,33,51,15
2019-07-25,4,7,25,0,0,0,0,1,2,30,43,3934.7,67,33,26,57,15
2019-07-26,5,7,26,0,0,0,0,3,0,73,44,7534.91,102,67,47,89,25
2019-07-27,6,7,27,0,0,1,0,3,0,87,54,8040.88,125,73,50,110,32
2019-07-28,7,7,28,0,0,1,0,1,1,44,63,5189.14,87,40,41,71,20
2019-07-29,1,7,29,0,0,0,0,3,0,39,27,3514.57,59,29,31,47,16
2019-07-30,2,7,30,0,0,0,0,3,0,42,26,4034.46,57,39,23,55,11
2019-07-31,3,7,31,0,0,0,0,3,0,42,30,3814.5,63,33,33,50,15
2019-08-01,4,8,1,0,0,0,0,3,0,67,41,6325.41,94,54,45,81,17
2019-08-02,5,8,2,0,0,0,0,3,0,78,52,8168.6,117,72,51,91,29
2019-08-03,6,8,3,0,0,1,0,3,0,95,66,8992.28,142,86,65,129,22
2019-08-04,7,8,4,0,1,1,0,2,0,98,97,10950.54,171,104,67,136,39
2019-08-05,1,8,5,0,0,0,0,3,0,44,34,4472.84,69,38,26,63,12
2019-08-06,2,8,6,0,0,0,0,3,0,45,27,4297.7,64,40,25,51,15
2019-08-07,3,8,7,0,0,0,0,3,0,47,35,4637.55,74,39,45,52,15
2019-08-08,4,8,8,0,0,0,0,3,0,52,36,5018.33,77,47,34,57,16
2019-08-09,5,8,9,0,0,0,0,3,0,71,45,6914.92,102,64,48,77,19
2019-08-10,6,8,10,0,0,1,0,3,0,87,53,8217.91,123,85,63,100,35
2019-08-11,7,8,11,0,0,1,1,3,0,83,59,7855.09,124,66,59,100,25
2019-08-12,1,8,12,0,0,0,0,3,0,30,20,2851.31,44,26,21,37,13
2019-08-13,2,8,13,0,0,0,0,3,0,41,23,3408.97,54,30,21,46,14
2019-08-14,3,8,14,0,0,0,0,3,0,34,33,4266.82,60,45,24,52,17
2019-08-15,4,8,15,0,0,0,0,3,0,50,29,3743.75,68,27,35,52,15
2019-08-16,5,8,16,0,0,0,0,2,0,40,45,5315.51,76,46,42,57,21
2019-08-17,6,8,17,0,1,1,0,3,0,104,65,8265.22,153,61,63,114,28
2019-08-18,7,8,18,0,1,1,0,0,2,38,79,6610.46,106,64,37,81,32
2019-08-19,1,8,19,0,1,0,0,3,0,44,28,4070.43,67,30,27,53,22
2019-08-20,2,8,20,0,0,0,0,2,1,34,28,3474.33,50,35,29,47,13
2019-08-21,3,8,21,0,0,0,0,3,0,44,30,4464.65,67,38,35,57,14
2019-08-22,4,8,22,0,0,0,0,2,0,40,35,4525.82,67,46,31,57,12
2019-08-23,5,8,23,0,0,0,0,3,0,58,41,5573.07,81,49,46,75,24
2019-08-24,6,8,24,0,1,1,0,3,0,108,79,10685.65,166,112,67,133,30
2019-08-25,7,8,25,0,1,1,0,3,0,106,71,9901.97,160,77,87,131,35
2019-08-26,1,8,26,0,0,0,0,3,0,33,23,3069.28,52,24,27,38,10
2019-08-27,2,8,27,0,0,0,0,2,0,31,33,3833.45,55,31,27,48,17
2019-08-28,3,8,28,0,0,0,0,3,0,41,30,3697.31,59,32,31,51,15
2019-08-29,4,8,29,0,0,0,0,3,0,46,30,4303.13,69,44,23,51,11
2019-08-30,5,8,30,0,0,0,0,3,0,59,41,5624.71,88,52,37,73,19
2019-08-31,6,8,31,0,0,1,0,3,0,71,60,7080.25,119,59,61,105,21
2019-09-01,7,9,1,0,0,1,0,3,0,77,53,7241.38,116,57,62,102,27
2019-09-02,1,9,2,0,0,0,0,2,0,35,32,3846.46,57,36,24,48,15
2019-09-03,2,9,3,0,0,0,0,2,0,45,37,4669.3,67,46,31,60,19
2019-09-04,3,9,4,0,0,0,0,0,2,17,44,3494.73,51,28,25,42,15
2019-09-05,4,9,5,0,0,0,0,1,2,35,48,5109.99,68,44,41,63,18
2019-09-06,5,9,6,0,1,0,0,3,0,104,80,10473.37,156,80,80,140,38
2019-09-07,6,9,7,1,0,1,0,3,0,107,63,8049.84,138,67,76,125,33
2019-09-08,7,9,8,0,1,1,0,3,0,98,64,9583.05,139,98,55,124,33
2019-09-09,1,9,9,0,0,0,0,1,1,26,33,3368.0,53,34,23,41,9
2019-09-10,2,9,10,0,0,0,0,3,0,35,24,3529.19,53,32,26,42,12
2019-09-11,3,9,11,0,0,0,0,3,0,37,24,4047.16,54,42,26,43,16
2019-09-12,4,9,12,0,0,0,0,3,0,50,26,4154.87,68,35,34,51,15
2019-09-13,5,9,13,0,0,0,0,0,2,24,60,4529.91,69,43,31,56,17
2019-09-14,6,9,14,0,0,1,0,3,0,62,47,6970.46,100,70,35,69,34
2019-09-15,7,9,15,0,0,1,0,2,0,56,43,6024.55,89,64,43,67,20
2019-09-16,1,9,16,0,0,0,0,3,0,31,20,2759.4,44,27,13,37,11
2019-09-17,2,9,17,0,0,0,0,3,0,31,26,3263.42,52,30,25,42,6
2019-09-18,3,9,18,0,0,0,0,3,0,39,26,3944.54,56,37,26,45,13
2019-09-19,4,9,19,0,0,0,0,3,0,42,28,3748.8,61,33,28,55,11
2019-09-20,5,9,20,0,0,0,0,2,0,47,34,4966.7,74,48,37,54,17
2019-09-21,6,9,21,0,0,1,0,3,0,67,50,7732.45,105,71,54,90,26
2019-09-22,7,9,22,0,1,1,0,3,0,80,63,8778.12,126,73,63,105,35
2019-09-23,1,9,23,0,1,0,0,3,0,44,33,4297.41,64,41,40,55,13
2019-09-24,2,9,24,0,0,0,0,2,0,30,23,3284.02,46,30,19,42,13
2019-09-25,3,9,25,0,0,0,0,2,0,36,30,3854.15,54,38,24,46,11
2019-09-26,4,9,26,0,0,0,0,2,0,41,35,4004.36,64,42,33,53,12
2019-09-27,5,9,27,0,1,0,0,0,2,31,83,6404.25,97,59,39,89,28
2019-09-28,6,9,28,0,0,1,0,3,0,79,55,7215.36,120,57,62,101,22
2019-09-29,7,9,29,0,1,1,0,3,0,77,68,9353.26,120,81,72,110,39
2019-09-30,1,9,30,0,0,0,0,3,0,36,27,3799.97,55,32,25,50,11
2019-10-01,2,10,1,0,0,0,0,3,0,49,27,4527.03,68,43,29,55,24
2019-10-02,3,10,2,0,0,0,0,2,1,46,34,4639.27,73,46,27,61,19
2019-10-03,4,10,3,0,0,0,0,1,2,44,48,5561.18,79,49,47,71,22
2019-10-04,5,10,4,0,0,0,0,2,0,61,56,6871.87,95,64,50,89,15
2019-10-05,6,10,5,0,1,1,0,2,0,136,109,14802.4,218,139,109,174,51
2019-10-06,7,10,6,0,0,1,0,3,0,87,53,8262.06,124,79,58,105,27
2019-10-07,1,10,7,0,0,0,0,3,0,44,29,3817.27,63,31,28,52,15
2019-10-08,2,10,8,0,0,0,0,3,0,43,32,4076.79,68,36,26,50,14
2019-10-09,3,10,9,0,0,0,0,2,0,40,36,4341.96,69,37,23,54,21
2019-10-10,4,10,10,0,0,0,0,3,0,47,36,4578.72,68,47,30,60,10
2019-10-11,5,10,11,0,0,0,0,0,2,22,48,4524.29,63,43,34,53,13
2019-10-12,6,10,12,1,0,1,0,3,0,77,58,7911.25,127,69,35,88,26
2019-10-13,7,10,13,0,0,1,0,2,0,64,47,6583.85,96,55,59,90,36
2019-10-14,1,10,14,0,0,0,0,3,0,40,22,3258.68,55,28,23,42,11
2019-10-15,2,10,15,0,0,0,0,2,1,34,30,3370.6,55,29,24,50,14
2019-10-16,3,10,16,0,0,0,0,3,0,43,26,3861.09,58,33,27,52,16
2019-10-17,4,10,17,0,0,0,0,3,0,45,28,3956.99,62,36,34,53,13
2019-10-18,5,10,18,0,0,0,0,2,0,52,48,5431.96,77,49,38,79,20
2019-10-19,6,10,19,0,1,1,0,2,0,107,87,12631.53,174,135,57,158,39
2019-10-20,7,10,20,0,0,1,0,0,2,22,61,4487.32,73,38,30,58,23
2019-10-21,1,10,21,0,0,0,0,3,0,37,24,3340.14,55,27,28,44,11
2019-10-22,2,10,22,0,1,0,0,2,1,42,34,4559.49,68,40,35,49,12
2019-10-23,3,10,23,0,1,0,0,3,0,51,42,5506.67,85,56,35,66,12
2019-10-24,4,10,24,0,1,0,0,2,1,57,45,5140.36,91,46,43,59,21
2019-10-25,5,10,25,0,0,0,0,3,0,71,50,6917.35,110,64,54,92,30
2019-10-26,6,10,26,0,0,1,0,2,1,81,56,7494.59,116,66,53,92,38
2019-10-27,7,10,27,0,1,1,0,2,0,73,75,8902.08,122,94,70,108,41
2019-10-28,1,10,28,0,1,0,0,3,0,60,38,5665.97,85,56,43,74,22
2019-10-29,2,10,29,0,0,0,0,2,0,36,29,4067.52,58,41,20,49,14
2019-10-30,3,10,30,0,0,0,0,0,2,18,42,3323.34,49,30,20,45,7
2019-10-31,4,10,31,0,0,0,1,3,0,50,42,4979.93,85,44,32,64,19
2019-11-01,5,11,1,0,0,0,0,3,0,79,51,7468.77,116,71,48,80,31
2019-11-02,6,11,2,1,1,1,0,3,0,161,119,15199.93,218,134,125,190,62
2019-11-03,7,11,3,0,1,1,0,3,0,124,82,11204.22,183,95,88,155,43
2019-11-04,1,11,4,0,1,0,0,2,0,58,49,5741.52,87,64,41,76,17
2019-11-05,2,11,5,0,0,0,0,3,0,48,36,4502.6,69,41,36,59,18
2019-11-06,3,11,6,0,0,0,0,3,0,48,40,5507.13,83,45,38,67,13
2019-11-07,4,11,7,0,0,0,0,2,0,61,43,6320.32,90,55,44,82,21
2019-11-08,5,11,8,0,0,0,0,3,0,80,50,6860.93,126,46,59,83,27
